,Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score, CES 4.0 Percentile,CES 4.0 Percentile Range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl,CES 4.0 Percentile,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
20,6037542200,7155,Los Angeles,90221,Compton,-118.1971508,33.8868935,73.92,99.57,95-100% (highest scores),0.043,29.89,12.21728053,88.65,0.478,89.0,495.6,60.16,95.13,99.46,0.04,20.31,10830.04993,97.85,2630.563134,93.64,4.7,41.28,24.3,73.78,0.925,83.94,7,66.74,1.6,42.5,68.8,8.4,97.83,92.82,90.43,5.85,72.08,23.89,96.51,37.4,87.67,14.5,76.07,54.7,86.86,9.4,83.63,25.9,82.41,84.83,8.8,96.52,99.57,15.16,75.77,9.07,71.45,1.05,26.25,0.0,0.0,1.26
21,6037534202,5748,Los Angeles,90201,Bell Gardens,-118.1611103,33.959603,73.82,99.56,95-100% (highest scores),0.046,46.99,12.02968272,79.99,0.152,51.72,514.47,61.9,83.88,92.51,15.65,63.69,5064.103231,92.55,755.4452536,40.89,5.3,43.24,14.0,56.13,2.67,95.13,10,82.97,3.2,64.4,66.98,8.18,96.99,54.25,62.08,6.21,79.19,23.93,96.68,53.5,97.84,20.7,87.51,80.1,99.48,11.8,91.79,36.3,97.03,87.02,9.03,97.87,99.56,13.8,77.89,8.32,93.23,6.28,0.24,0.0,0.24,0.0
22,6037242600,4756,Los Angeles,90059,Los Angeles,-118.2502423,33.932376,73.34,99.52,95-100% (highest scores),0.044,35.16,12.0688233,82.53,0.841,97.09,787.94,92.53,83.98,92.63,0.0,0.0,8898.52661,96.75,3529.731022,97.81,0.0,0.0,1.5,10.64,0.135,23.72,7,66.74,5.0,75.67,61.33,7.49,92.51,136.47,98.07,6.99,89.8,27.86,99.08,50.9,96.9,13.9,74.1,86.9,99.86,17.8,98.54,35.7,96.63,94.43,9.8,99.85,99.52,21.64,74.41,3.95,64.0,0.06,34.15,0.0,0.0,1.79
23,6037242700,6035,Los Angeles,90059,Los Angeles,-118.2426486,33.9363535,73.33,99.51,95-100% (highest scores),0.044,35.16,12.07407493,82.81,0.522,90.69,787.94,92.53,82.12,91.12,0.0,0.0,8065.676676,96.26,1794.888252,83.74,4.55,40.87,7.5,39.45,0.45,65.92,7,66.74,0.5,22.08,63.36,7.74,94.55,110.5,94.97,8.37,97.73,23.51,95.99,44.4,93.1,10.9,65.19,66.5,95.8,8.6,78.97,45.6,99.56,91.38,9.48,99.42,99.51,17.76,76.59,5.65,75.72,1.13,22.75,0.03,0.18,0.18
24,6037206032,5687,Los Angeles,90033,Los Angeles,-118.2246242,34.046259,73.31,99.5,95-100% (highest scores),0.048,53.73,12.55763366,91.44,1.068,98.48,787.94,92.53,80.24,89.48,0.0,0.0,2124.592977,80.4,2360.78323,91.16,68.0,97.97,15.55,60.45,2.115,92.96,7,66.74,2.0,52.9,74.5,9.1,99.46,79.94,85.11,4.91,49.91,16.72,74.91,46.2,94.37,42.3,98.9,66.8,95.94,4.8,41.84,34.8,95.97,77.69,8.06,89.81,99.5,14.16,69.74,16.11,74.73,6.37,2.2,0.81,15.72,0.18
25,6037542401,4735,Los Angeles,90221,Compton,-118.2109036,33.8923624,73.16,99.48,95-100% (highest scores),0.043,29.89,12.15347903,87.12,0.256,70.98,459.74,55.31,96.26,99.75,0.0,0.0,13561.58,98.65,802.7858005,44.5,7.4,51.25,30.75,80.34,1.525,90.48,10,82.97,3.5,66.69,65.3,7.97,96.08,95.67,91.5,6.29,80.16,24.68,97.53,34.1,84.37,13.2,71.92,54.8,86.97,19.9,99.23,32.2,93.46,88.46,9.18,98.68,99.48,11.76,77.47,10.77,59.92,0.7,34.61,0.0,3.33,1.44
26,6037203500,2907,Los Angeles,90033,Los Angeles,-118.2185819,34.057226,73.09,99.47,95-100% (highest scores),0.049,56.96,12.84192716,93.07,0.956,97.9,761.16,86.59,89.23,96.14,0.0,0.0,1984.473328,79.07,3196.052323,96.7,78.65,98.66,39.85,85.9,5.08,97.86,7,66.74,0.0,0.0,73.81,9.01,99.34,81.13,85.73,6.02,75.56,16.94,75.69,33.0,83.45,22.4,89.62,65.4,95.24,3.9,29.41,29.1,89.09,78.18,8.11,90.53,99.47,11.66,75.37,12.97,77.23,4.88,3.27,0.0,14.62,0.0
27,6037239201,3753,Los Angeles,90003,Los Angeles,-118.2771699,33.9857805,72.93,99.46,95-100% (highest scores),0.045,39.99,12.05259566,81.32,0.784,96.59,787.94,92.53,91.64,97.87,0.0,0.0,3780.143188,88.15,3970.780012,98.68,27.6,87.66,19.05,66.96,0.225,39.77,0,0.0,1.25,38.99,65.15,7.96,95.96,113.88,95.43,6.38,81.88,27.88,99.23,51.8,97.29,18.3,84.04,52.7,84.95,6.0,57.25,43.6,99.39,88.38,9.17,98.6,99.46,18.28,76.85,4.88,83.8,0.72,14.97,0.16,0.0,0.35
28,6037219902,3809,Los Angeles,90016,Los Angeles,-118.368517,34.02931,72.78,99.45,95-100% (highest scores),0.046,44.98,11.84882762,71.23,0.357,81.84,787.94,92.53,79.91,89.17,0.14,28.28,2039.298991,79.77,2253.086852,90.24,7.1,50.56,30.0,79.69,1.045,85.64,7,66.74,2.5,59.18,70.96,8.66,98.78,88.26,89.11,8.33,97.66,15.22,67.81,32.0,82.46,13.7,73.37,46.1,77.58,6.2,59.38,31.6,92.71,80.98,8.4,93.49,99.45,6.17,83.93,9.9,67.39,9.19,15.54,0.42,4.09,3.36
29,6037534201,4768,Los Angeles,90201,Bell Gardens,-118.1672627,33.9580353,72.69,99.43,95-100% (highest scores),0.046,46.99,12.02968272,79.99,0.884,97.41,514.47,61.9,86.03,94.08,7.89,58.34,5507.243246,93.32,3172.78691,96.6,23.7,85.05,27.5,77.47,4.235,97.3,10,82.97,1.95,44.54,78.21,9.55,99.89,54.25,62.08,5.02,52.85,23.93,96.68,48.4,95.67,22.7,89.93,61.9,92.94,2.7,13.18,29.3,89.38,73.38,7.61,84.35,99.43,20.62,72.17,7.21,96.14,2.06,0.99,0.29,0.42,0.1
